RND,Marketing,Cost-Efficiency,Profit_Margin,ROA,ROI,ROE,ROS
-3,-3,-3,1.614,0.498,1.572,1.83,1.134
-3,-3,-2,0.229,-0.67,-0.338,0.658,-0.399
-3,-3,-1,-0.924,-1.682,-2.078,-0.454,-1.752
-3,-3,0,-1.845,-2.538,-3.648,-1.506,-2.925
-3,-3,1,-2.534,-3.238,-5.048,-2.498,-3.918
-3,-3,2,-2.991,-3.782,-6.278,-3.43,-4.731
-3,-3,3,-3.216,-4.17,-7.338,-4.302,-5.364
-3,-2,-3,1.956,1.224,2.699,1.612,1.542
-3,-2,-2,0.815,0.305,1.029,0.654,0.313
-3,-2,-1,-0.094,-0.458,-0.471,-0.244,-0.736
-3,-2,0,-0.771,-1.065,-1.801,-1.082,-1.605
-3,-2,1,-1.216,-1.516,-2.961,-1.86,-2.294
-3,-2,2,-1.429,-1.811,-3.951,-2.578,-2.803
-3,-2,3,-1.41,-1.95,-4.771,-3.236,-3.132
-3,-1,-3,1.72,1.254,3.12,1.056,1.338
-3,-1,-2,0.823,0.584,1.69,0.312,0.413
-3,-1,-1,0.158,0.07,0.43,-0.372,-0.332
-3,-1,0,-0.275,-0.288,-0.66,-0.996,-0.897
-3,-1,1,-0.476,-0.49,-1.58,-1.56,-1.282
-3,-1,2,-0.445,-0.536,-2.33,-2.064,-1.487
-3,-1,3,-0.182,-0.426,-2.91,-2.508,-1.512
-3,0,-3,0.906,0.588,2.835,0.162,0.522
-3,0,-2,0.253,0.167,1.645,-0.368,-0.099
-3,0,-1,-0.168,-0.098,0.625,-0.838,-0.54
-3,0,0,-0.357,-0.207,-0.225,-1.248,-0.801
-3,0,1,-0.314,-0.16,-0.905,-1.598,-0.882
-3,0,2,-0.039,0.043,-1.415,-1.888,-0.783
-3,0,3,0.468,0.402,-1.755,-2.118,-0.504
-3,1,-3,-0.486,-0.774,1.844,-1.07,-0.906
-3,1,-2,-0.895,-0.946,0.894,-1.386,-1.223
-3,1,-1,-1.072,-0.962,0.114,-1.642,-1.36
-3,1,0,-1.017,-0.822,-0.496,-1.838,-1.317
-3,1,1,-0.73,-0.526,-0.936,-1.974,-1.094
-3,1,2,-0.211,-0.074,-1.206,-2.05,-0.691
-3,1,3,0.54,0.534,-1.306,-2.066,-0.108
-3,2,-3,-2.456,-2.832,0.147,-2.64,-2.946
-3,2,-2,-2.621,-2.755,-0.563,-2.742,-2.959
-3,2,-1,-2.554,-2.522,-1.103,-2.784,-2.792
-3,2,0,-2.255,-2.133,-1.473,-2.766,-2.445
-3,2,1,-1.724,-1.588,-1.673,-2.688,-1.918
-3,2,2,-0.961,-0.887,-1.703,-2.55,-1.211
-3,2,3,0.034,-0.03,-1.563,-2.352,-0.324
-3,3,-3,-5.004,-5.586,-2.256,-4.548,-5.598
-3,3,-2,-4.925,-5.26,-2.726,-4.436,-5.307
-3,3,-1,-4.614,-4.778,-3.026,-4.264,-4.836
-3,3,0,-4.071,-4.14,-3.156,-4.032,-4.185
-3,3,1,-3.296,-3.346,-3.116,-3.74,-3.354
-3,3,2,-2.289,-2.396,-2.906,-3.388,-2.343
-3,3,3,-1.05,-1.29,-2.526,-2.976,-1.152
-2,-3,-3,1.246,0.66,1.508,1.814,0.9
-2,-3,-2,0.172,-0.309,-0.061,0.865,-0.289
-2,-3,-1,-0.67,-1.122,-1.46,-0.024,-1.298
-2,-3,0,-1.28,-1.779,-2.689,-0.853,-2.127
-2,-3,1,-1.658,-2.28,-3.748,-1.622,-2.776
-2,-3,2,-1.804,-2.625,-4.637,-2.331,-3.245
-2,-3,3,-1.718,-2.814,-5.356,-2.98,-3.534
-2,-2,-3,1.534,1.304,2.497,1.691,1.239
-2,-2,-2,0.704,0.584,1.168,0.956,0.354
-2,-2,-1,0.106,0.02,0.009,0.281,-0.351
-2,-2,0,-0.26,-0.388,-0.98,-0.334,-0.876
-2,-2,1,-0.394,-0.64,-1.799,-0.889,-1.221
-2,-2,2,-0.296,-0.736,-2.448,-1.384,-1.386
-2,-2,3,0.034,-0.676,-2.927,-1.819,-1.371
-2,-1,-3,1.244,1.252,2.78,1.23,0.966
-2,-1,-2,0.658,0.781,1.691,0.709,0.385
-2,-1,-1,0.304,0.466,0.772,0.248,-0.016
-2,-1,0,0.182,0.307,0.023,-0.153,-0.237
-2,-1,1,0.292,0.304,-0.556,-0.494,-0.278
-2,-1,2,0.634,0.457,-0.965,-0.775,-0.139
-2,-1,3,1.208,0.766,-1.204,-0.996,0.18
-2,0,-3,0.376,0.504,2.357,0.431,0.081
-2,0,-2,0.034,0.282,1.508,0.124,-0.196
-2,0,-1,-0.076,0.216,0.829,-0.123,-0.293
-2,0,0,0.046,0.306,0.32,-0.31,-0.21
-2,0,1,0.4,0.552,-0.019,-0.437,0.053
-2,0,2,0.986,0.954,-0.188,-0.504,0.496
-2,0,3,1.804,1.512,-0.187,-0.511,1.119
-2,1,-3,-1.07,-0.94,1.228,-0.706,-1.416
-2,1,-2,-1.168,-0.913,0.619,-0.799,-1.389
-2,1,-1,-1.034,-0.73,0.18,-0.832,-1.182
-2,1,0,-0.668,-0.391,-0.089,-0.805,-0.795
-2,1,1,-0.07,0.104,-0.188,-0.718,-0.228
-2,1,2,0.76,0.755,-0.117,-0.571,0.519
-2,1,3,1.822,1.562,0.124,-0.364,1.446
-2,2,-3,-3.094,-3.08,-0.607,-2.181,-3.525
-2,2,-2,-2.948,-2.804,-0.976,-2.06,-3.194
-2,2,-1,-2.57,-2.372,-1.175,-1.879,-2.683
-2,2,0,-1.96,-1.784,-1.204,-1.638,-1.992
-2,2,1,-1.118,-1.04,-1.063,-1.337,-1.121
-2,2,2,-0.044,-0.14,-0.752,-0.976,-0.07
-2,2,3,1.262,0.916,-0.271,-0.555,1.161
-2,3,-3,-5.696,-5.916,-3.148,-3.994,-6.246
-2,3,-2,-5.306,-5.391,-3.277,-3.659,-5.611
-2,3,-1,-4.684,-4.71,-3.236,-3.264,-4.796
-2,3,0,-3.83,-3.873,-3.025,-2.809,-3.801
-2,3,1,-2.744,-2.88,-2.644,-2.294,-2.626
-2,3,2,-1.426,-1.731,-2.093,-1.719,-1.271
-2,3,3,0.124,-0.426,-1.372,-1.084,0.264
-1,-3,-3,0.594,0.378,0.974,1.276,0.342
-1,-3,-2,-0.169,-0.392,-0.254,0.55,-0.503
-1,-3,-1,-0.7,-1.006,-1.312,-0.116,-1.168
-1,-3,0,-0.999,-1.464,-2.2,-0.722,-1.653
-1,-3,1,-1.066,-1.766,-2.918,-1.268,-1.958
-1,-3,2,-0.901,-1.912,-3.466,-1.754,-2.083
-1,-3,3,-0.504,-1.902,-3.844,-2.18,-2.028
-1,-2,-3,0.828,0.94,1.825,1.248,0.612
-1,-2,-2,0.309,0.419,0.837,0.736,0.071
-1,-2,-1,0.022,0.054,0.019,0.284,-0.29
-1,-2,0,-0.033,-0.155,-0.629,-0.108,-0.471
-1,-2,1,0.144,-0.208,-1.107,-0.44,-0.472
-1,-2,2,0.553,-0.105,-1.415,-0.712,-0.293
-1,-2,3,1.194,0.154,-1.553,-0.924,0.066
-1,-1,-3,0.484,0.806,1.97,0.882,0.27
-1,-1,-2,0.209,0.534,1.222,0.584,0.033
-1,-1,-1,0.166,0.418,0.644,0.346,-0.024
-1,-1,0,0.355,0.458,0.236,0.168,0.099
-1,-1,1,0.776,0.654,-0.002,0.05,0.402
-1,-1,2,1.429,1.006,-0.07,-0.008,0.885
-1,-1,3,2.314,1.514,0.032,-0.006,1.548
-1,0,-3,-0.438,-0.024,1.409,0.178,-0.684
-1,0,-2,-0.469,-0.047,0.901,0.094,-0.617
-1,0,-1,-0.268,0.086,0.563,0.07,-0.37
-1,0,0,0.165,0.375,0.395,0.106,0.057
-1,0,1,0.83,0.82,0.397,0.202,0.664
-1,0,2,1.727,1.421,0.569,0.358,1.451
-1,0,3,2.856,2.178,0.911,0.574,2.418
-1,1,-3,-1.938,-1.55,0.142,-0.864,-2.25
